Puzzle   Algorithm   Heuristic   Length of the   Length of the   Execution Time
Number                                Solution     Search Path     (in seconds)
--------------------------------------------------------------------------------
29       A/A*        h2                         1           1        0.0000
29       A/A*        h3                         1           1        0.0000
29       A/A*        h4                         1           1        0.0000


31       UCS         NA                         3         546          0.08
31       GBFS        h1                         3         475          0.06
31       GBFS        h2                         3         475          0.06
31       GBFS        h3                         3         490          0.05
31       GBFS        h4                         3         520          0.07
31       A/A*        h1                         3         588          0.11
31       A/A*        h2                         3         588          0.11
31       A/A*        h3                         3         588          0.11
31       A/A*        h4                         3         588          0.11

32       UCS         NA                         2         493          0.05
32       GBFS        h1                         2         753          0.13
32       GBFS        h2                         2         753          0.13
32       GBFS        h3                         2         747          0.11
32       GBFS        h4                         2         753          0.13
32       A/A*        h1                         2         751          0.20
32       A/A*        h2                         2         751          0.23
32       A/A*        h3                         2         751          0.18
32       A/A*        h4                         2         751          0.18

33       UCS         NA                         2          50        0.0009
33       GBFS        h1                         2          67        0.0030
33       GBFS        h2                         2          67        0.0030
33       GBFS        h3                         2          91        0.0040
33       GBFS        h4                         2          67        0.0029
33       A/A*        h1                         2          63        0.0030
33       A/A*        h2                         2          63        0.0040
33       A/A*        h3                         2          63        0.0040
33       A/A*        h4                         2          63        0.0040

34       UCS         NA                         1           2        0.0000
34       GBFS        h1                         1           1        0.0000
34       GBFS        h2                         1           1        0.0000
34       GBFS        h3                         1           1        0.0000
34       GBFS        h4                         1           1        0.0000
34       A/A*        h1                         1           1        0.0000
34       A/A*        h2                         1           1        0.0000
34       A/A*        h3                         1           1        0.0009
34       A/A*        h4                         1           1        0.0000



37       UCS         NA                         3         201          0.01
37       GBFS        h1                         3         234          0.03
37       GBFS        h2                         3         234          0.03
37       GBFS        h3                         3         245          0.03
37       GBFS        h4                         3         234          0.04
37       A/A*        h1                         3         252          0.03
37       A/A*        h2                         3         252          0.03
37       A/A*        h3                         3         252          0.03
37       A/A*        h4                         3         252          0.03

38       UCS         NA                         2         428          0.04
38       GBFS        h1                         2         349          0.04
38       GBFS        h2                         2         349          0.07
38       GBFS        h3                         2         348          0.04
38       GBFS        h4                         2         349          0.06
38       A/A*        h1                         2         350          0.03
38       A/A*        h2                         2         350          0.03
38       A/A*        h3                         2         350          0.03
38       A/A*        h4                         2         350          0.04

39       UCS         NA                         3         420          0.05
39       GBFS        h1                         3         451          0.15
39       GBFS        h2                         3         451          0.14
39       GBFS        h3                         3         407          0.10
39       GBFS        h4                         3         415          0.14
39       A/A*        h1                         3         484          0.09
39       A/A*        h2                         3         484          0.09
39       A/A*        h3                         3         484          0.09
39       A/A*        h4                         3         484          0.09

40       UCS         NA                         6        1399          1.60
40       GBFS        h1                         6        1405          3.84
40       GBFS        h2                         6        1405          4.93
40       GBFS        h3                         6        1416          1.02
40       GBFS        h4                         6        1405          2.85
40       A/A*        h1                         6        1416          1.00
40       A/A*        h2                         6        1416          1.05
40       A/A*        h3                         6        1416          1.03
40       A/A*        h4                         6        1416          1.05

41       UCS         NA                         2          20        0.0000
41       GBFS        h1                         2          19        0.0010
41       GBFS        h2                         2          19        0.0010
41       GBFS        h3                         2          19        0.0010
41       GBFS        h4                         2          19        0.0020
41       A/A*        h1                         2          19        0.0010
41       A/A*        h2                         2          19        0.0010
41       A/A*        h3                         2          19        0.0011
41       A/A*        h4                         2          19        0.0010


43       UCS         NA                         6        6044         23.27
43       GBFS        h1                         6        4675         20.83
43       GBFS        h2                         6        4675         22.71
43       GBFS        h3                         6        5752         11.74
43       GBFS        h4                         7        6369         60.55
43       A/A*        h1                         6        5924         11.86
43       A/A*        h2                         6        5924         12.41
43       A/A*        h3                         6        5924         12.39
43       A/A*        h4                         6        5924         12.27


45       UCS         NA                         7        4071          7.52
45       GBFS        h1                         7        3595          7.99
45       GBFS        h2                         7        3595          8.21
45       GBFS        h3                         7        3930          4.02
45       GBFS        h4                         7        4112         10.75
45       A/A*        h1                         7        3892          4.17
45       A/A*        h2                         7        3892          4.32
45       A/A*        h3                         7        3892          6.66
45       A/A*        h4                         7        3892         10.10


47       UCS         NA                         2          43        0.0009
47       GBFS        h1                         2          45        0.0026
47       GBFS        h2                         2          45        0.0030
47       GBFS        h3                         2          45        0.0030
47       GBFS        h4                         2          45        0.0030
47       A/A*        h1                         2          45          0.01
47       A/A*        h2                         2          45          0.01
47       A/A*        h3                         2          45          0.01
47       A/A*        h4                         2          45          0.01

48       UCS         NA                         1           2        0.0000
48       GBFS        h1                         1           1        0.0000
48       GBFS        h2                         1           1        0.0000
48       GBFS        h3                         1           1        0.0000
48       GBFS        h4                         1           1        0.0000
48       A/A*        h1                         1           1        0.0000
48       A/A*        h2                         1           1        0.0011
48       A/A*        h3                         1           1        0.0009
48       A/A*        h4                         1           1        0.0005


50       UCS         NA                         2          68        0.0019
50       GBFS        h1                         2          67        0.0050
50       GBFS        h2                         2          67        0.0040
50       GBFS        h3                         2          67        0.0040
50       GBFS        h4                         2          67        0.0040
50       A/A*        h1                         2          67          0.02
50       A/A*        h2                         2          67          0.02
50       A/A*        h3                         2          67          0.02
50       A/A*        h4                         2          67          0.02

